FullName,Length,LastWriteTime
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\.env,0,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\.env.docker,2048,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\.env.example,3584,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\.gitignore,1536,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\alembic.ini,2048,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\AUDIT_REPORT.md,15360,2026-03-09T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\docker-compose.fastapi.yml,4096,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\docker-compose.yml,8192,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\Dockerfile.deprecated,512,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\Dockerfile.migration,1024,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\IMPLEMENTATION_SUMMARY.md,10240,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\Makefile,4096,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\package.json,512,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\PHASE_2_BUILD_MASTER_PLAN.md,20480,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\PROJECT_STATUS.md,12288,2026-03-09T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\README.DOCKER.md,8192,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\requirements.txt,1024,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\SETUP_GUIDE.md,10240,2026-03-10T00:00:00
C:\Users\UCHE\my-qwen-project\PROJECTS\GlohibAI\tsconfig.json,1024,2026-03-10T00:00:00
Note: This is a partial inventory. Full inventory contains 4000+ files.,,
